,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,GDP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,season,division,PA,1B,OBP,BA,SLG,OPS,ISO,HR/PA,K/PA,BB/PA,K/BB,BABIP,wOBA,wRAA,wRC,team
0,5,29,6,1,2,11,0,4,4,0,1,0,11,0,0,0,1,0,0,02/17/2023,home,16340,466,Nevada,9,True,5,3,2,win,2390288,2,2023,1,34,3,0.294,0.207,0.379,0.673,0.172,0.0,0.324,0.118,2.75,0.316,0.311,-1.944,3.394,2
1,5,32,11,0,0,14,1,4,2,2,0,1,10,1,0,0,1,0,1,02/18/2023,home,16340,466,Nevada,9,True,5,4,1,win,2390526,2,2023,1,37,10,0.405,0.344,0.438,0.843,0.094,0.027,0.27,0.054,5.0,0.476,0.396,1.095,6.904,2
2,7,41,16,3,0,28,3,7,0,2,0,0,12,1,0,0,2,0,0,02/19/2023,home,16340,466,Nevada,9,True,7,9,-2,loss,2390845,2,2023,1,43,10,0.419,0.39,0.683,1.102,0.293,0.07,0.279,0.0,0.0,0.5,0.487,5.268,12.019,2
3,7,32,8,0,0,11,1,5,5,1,0,0,7,0,0,0,1,0,0,02/20/2023,home,16340,466,Nevada,9,True,7,3,4,win,2391069,2,2023,1,38,7,0.368,0.25,0.344,0.712,0.094,0.026,0.184,0.132,1.4,0.292,0.352,-0.582,5.384,2
4,4,37,9,1,0,10,0,4,6,0,0,1,8,0,0,0,1,0,0,02/22/2023,neutral,16340,522,Oklahoma,10,True,4,3,1,win,2391249,2,2023,1,44,8,0.341,0.243,0.27,0.611,0.027,0.0,0.182,0.136,1.333,0.31,0.309,-2.605,4.303,2
5,3,21,5,0,0,5,0,2,0,1,1,0,3,1,0,1,2,0,1,02/25/2023,home,16340,654,Southeast Mo. St.,9,True,3,0,3,win,2391650,2,2023,1,23,5,0.261,0.238,0.238,0.499,0.0,0.0,0.13,0.0,0.0,0.263,0.241,-2.959,0.652,2
6,2,28,7,1,0,11,1,2,5,0,0,0,6,0,0,0,0,0,0,02/25/2023,home,16340,654,Southeast Mo. St.,9,True,2,23,-21,loss,2408039,2,2023,1,33,5,0.364,0.25,0.393,0.757,0.143,0.03,0.182,0.152,1.2,0.286,0.362,-0.168,5.013,2
7,7,26,9,0,0,18,3,6,3,2,0,2,3,1,0,0,1,1,1,02/26/2023,home,16340,654,Southeast Mo. St.,9,True,7,4,3,win,2392033,2,2023,1,32,6,0.469,0.346,0.692,1.161,0.346,0.094,0.094,0.094,1.0,0.3,0.487,3.92,8.944,2
8,5,34,10,0,0,10,0,5,2,2,0,0,13,0,0,0,2,0,0,02/26/2023,home,16340,654,Southeast Mo. St.,9,True,5,4,1,win,2391311,2,2023,1,38,10,0.368,0.294,0.294,0.662,0.0,0.0,0.342,0.053,6.5,0.476,0.334,-1.28,4.686,2
0,2,33,7,1,0,8,0,2,4,3,0,0,13,1,0,0,0,0,0,02/17/2023,neutral,16340,725,Army West Point,9,True,2,5,-3,loss,2390312,721,2023,1,40,6,0.35,0.212,0.242,0.592,0.03,0.0,0.325,0.1,3.25,0.35,0.314,-2.164,4.116,721
